cliente_id,mes,segmento,idade,qtd_transacoes_pix,valor_total_pix,canal_preferencial
C0007,2024-04,PF Alta Renda,66,16,7429.69,App
C0007,2024-05,PF Alta Renda,66,18,7492.75,App
C0007,2024-06,PF Alta Renda,66,18,8112.75,App
C0008,2024-01,PF Alta Renda,46,15,7491.45,Internet Banking
C0008,2024-02,PF Alta Renda,46,15,4048.56,Internet Banking
C0008,2024-03,PF Alta Renda,46,16,6693.98,Internet Banking
C0008,2024-04,PF Alta Renda,46,16,10643.22,Internet Banking
C0008,2024-05,PF Alta Renda,46,15,6714.2,Internet Banking
C0008,2024-06,PF Alta Renda,46,19,8487.75,Internet Banking
C0009,2024-01,PF Varejo,59,10,1205.57,App
C0009,2024-02,PF Varejo,59,13,1043.81,App
C0009,2024-03,PF Varejo,59,12,1090.62,App
C0009,2024-04,PF Varejo,59,12,1181.32,App
C0009,2024-05,PF Varejo,59,13,1663.59,App
C0009,2024-06,PF Varejo,59,12,1377.82,App
C0010,2024-01,PF Varejo,47,12,878.28,App
C0010,2024-02,PF Varejo,47,11,1305.29,App
C0010,2024-03,PF Varejo,47,11,1344.3,App
C0010,2024-04,PF Varejo,47,11,1549.38,App
C0010,2024-05,PF Varejo,47,9,1246.72,App
C0010,2024-06,PF Varejo,47,14,2384.96,App
C0011,2024-01,PF Varejo,33,12,2140.75,App
C0011,2024-02,PF Varejo,33,13,1551.36,App
C0011,2024-03,PF Varejo,33,11,1011.95,App
C0011,2024-04,PF Varejo,33,12,1285.2,App
C0011,2024-05,PF Varejo,33,13,1233.91,App
C0011,2024-06,PF Varejo,33,14,1752.56,App
C0012,2024-01,PJ Pequeno Negocio,63,37,6759.04,App
C0012,2024-02,PJ Pequeno Negocio,63,30,8748.52,App
C0012,2024-03,PJ Pequeno Negocio,63,40,10589.63,App
C0012,2024-04,PJ Pequeno Negocio,63,28,7151.86,App
C0012,2024-05,PJ Pequeno Negocio,63,24,7813.88,App
C0012,2024-06,PJ Pequeno Negocio,63,34,8653.84,App
C0013,2024-01,PF Varejo,32,3,317.69,App
C0013,2024-02,PF Varejo,32,3,322.77,App
C0013,2024-03,PF Varejo,32,3,362.09,App
C0013,2024-04,PF Varejo,32,3,459.01,App
C0013,2024-05,PF Varejo,32,2,307.95,App
C0013,2024-06,PF Varejo,32,3,310.23,App
C0014,2024-01,PF Alta Renda,35,18,5862.33,App
C0014,2024-02,PF Alta Renda,35,29,11373.74,App
C0014,2024-03,PF Alta Renda,35,22,9870.43,App
C0014,2024-04,PF Alta Renda,35,23,3600.7,App
C0014,2024-05,PF Alta Renda,35,23,6546.36,App
C0014,2024-06,PF Alta Renda,35,18,8385.67,App
C0015,2024-01,PF Varejo,47,6,716.77,Internet Banking
C0015,2024-02,PF Varejo,47,5,490.3,Internet Banking
C0015,2024-03,PF Varejo,47,4,473.4,Internet Banking
C0015,2024-04,PF Varejo,47,5,497.47,Internet Banking
C0015,2024-05,PF Varejo,47,5,529.37,Internet Banking
C0015,2024-06,PF Varejo,47,6,926.8,Internet Banking
C0016,2024-01,PF Varejo,65,16,3054.05,App
C0016,2024-02,PF Varejo,65,16,1837.99,App
C0016,2024-03,PF Varejo,65,12,1542.99,App
C0016,2024-04,PF Varejo,65,6,844.29,App
C0016,2024-05,PF Varejo,65,1,154.4,App
C0016,2024-06,PF Varejo,65,1,105.34,App
C0017,2024-01,PF Varejo,39,7,684.29,App
C0017,2024-02,PF Varejo,39,6,756.38,App
C0017,2024-03,PF Varejo,39,7,866.6,App
C0017,2024-04,PF Varejo,39,6,838.18,App
C0017,2024-05,PF Varejo,39,8,1101.39,App
C0017,2024-06,PF Varejo,39,7,353.9,App
C0018,2024-01,PF Varejo,46,16,2599.16,App
C0018,2024-02,PF Varejo,46,14,1809.27,App
C0018,2024-03,PF Varejo,46,16,1584.79,App
C0018,2024-04,PF Varejo,46,15,2098.72,App
C0018,2024-05,PF Varejo,46,17,2422.77,App
C0018,2024-06,PF Varejo,46,15,1880.97,App
C0019,2024-01,PF Alta Renda,20,21,5315.33,App
C0019,2024-02,PF Alta Renda,20,23,9283.85,App
C0019,2024-03,PF Alta Renda,20,19,11119.04,App
C0019,2024-04,PF Alta Renda,20,20,5905.93,App
C0019,2024-05,PF Alta Renda,20,21,10663.19,App
C0019,2024-06,PF Alta Renda,20,19,6251.01,App
C0020,2024-01,PF Varejo,24,14,1156.08,App
C0020,2024-02,PF Varejo,24,11,1017.34,App
C0020,2024-03,PF Varejo,24,8,848.88,App
C0020,2024-04,PF Varejo,24,3,290.88,App
C0020,2024-05,PF Varejo,24,1,111.68,App
C0020,2024-06,PF Varejo,24,1,81.13,App
C0021,2024-01,PF Alta Renda,21,30,12889.69,App
C0021,2024-02,PF Alta Renda,21,29,11833.05,App
C0021,2024-03,PF Alta Renda,21,26,14806.38,App
C0021,2024-04,PF Alta Renda,21,22,10140.78,App
C0021,2024-05,PF Alta Renda,21,29,11228.7,App
C0021,2024-06,PF Alta Renda,21,29,12156.01,App
C0022,2024-01,PF Varejo,22,8,871.37,App
C0022,2024-02,PF Varejo,22,8,1074.53,App
C0022,2024-03,PF Varejo,22,6,982.02,App
C0022,2024-04,PF Varejo,22,2,243.63,App
C0022,2024-05,PF Varejo,22,0,0.0,App
C0022,2024-06,PF Varejo,22,0,0.0,App
C0023,2024-01,PJ Pequeno Negocio,67,13,4024.91,App
C0023,2024-02,PJ Pequeno Negocio,67,13,4954.68,App
C0023,2024-03,PJ Pequeno Negocio,67,14,3423.03,App
C0023,2024-04,PJ Pequeno Negocio,67,14,3674.74,App
C0023,2024-05,PJ Pequeno Negocio,67,13,2432.91,App
C0023,2024-06,PJ Pequeno Negocio,67,12,1856.8,App
C0024,2024-01,PJ Pequeno Negocio,65,14,3047.33,Internet Banking
C0024,2024-02,PJ Pequeno Negocio,65,13,2745.17,Internet Banking
C0024,2024-03,PJ Pequeno Negocio,65,15,3842.45,Internet Banking
C0024,2024-04,PJ Pequeno Negocio,65,15,4314.76,Internet Banking
C0024,2024-05,PJ Pequeno Negocio,65,17,4112.25,Internet Banking
C0024,2024-06,PJ Pequeno Negocio,65,15,3164.25,Internet Banking
C0025,2024-01,PF Alta Renda,64,28,8567.74,App
C0025,2024-02,PF Alta Renda,64,21,11856.34,App
C0025,2024-03,PF Alta Renda,64,20,11302.73,App
C0025,2024-04,PF Alta Renda,64,28,12210.66,App
C0025,2024-05,PF Alta Renda,64,31,12964.11,App
C0025,2024-06,PF Alta Renda,64,26,4355.71,App
C0026,2024-01,PF Varejo,21,7,793.88,Internet Banking
C0026,2024-02,PF Varejo,21,7,873.41,Internet Banking
C0026,2024-03,PF Varejo,21,10,1273.35,Internet Banking
C0026,2024-04,PF Varejo,21,9,878.03,Internet Banking
C0026,2024-05,PF Varejo,21,10,1592.82,Internet Banking
C0026,2024-06,PF Varejo,21,8,926.24,Internet Banking
C0027,2024-01,PF Varejo,22,8,1233.38,App
C0027,2024-02,PF Varejo,22,7,609.97,App
C0027,2024-03,PF Varejo,22,7,822.1,App
C0027,2024-04,PF Varejo,22,7,1148.22,App
C0027,2024-05,PF Varejo,22,5,520.7,App
C0027,2024-06,PF Varejo,22,7,355.42,App
C0028,2024-01,PF Varejo,33,4,373.6,App
C0028,2024-02,PF Varejo,33,4,285.28,App
C0028,2024-03,PF Varejo,33,5,802.91,App
C0028,2024-04,PF Varejo,33,4,498.65,App
C0028,2024-05,PF Varejo,33,4,356.4,App
C0028,2024-06,PF Varejo,33,4,421.01,App
C0029,2024-01,PF Varejo,50,8,1332.65,Internet Banking
C0029,2024-02,PF Varejo,50,9,1081.34,Internet Banking
C0029,2024-03,PF Varejo,50,6,797.3,Internet Banking
C0029,2024-04,PF Varejo,50,3,343.62,Internet Banking
C0029,2024-05,PF Varejo,50,0,0.0,Internet Banking
C0029,2024-06,PF Varejo,50,0,0.0,Internet Banking
C0030,2024-01,PF Alta Renda,37,27,10562.22,Internet Banking
C0030,2024-02,PF Alta Renda,37,27,10267.87,Internet Banking
C0030,2024-03,PF Alta Renda,37,24,9889.78,Internet Banking
C0030,2024-04,PF Alta Renda,37,25,9671.77,Internet Banking
C0030,2024-05,PF Alta Renda,37,27,8091.88,Internet Banking
C0030,2024-06,PF Alta Renda,37,24,9990.43,Internet Banking
C0031,2024-01,PF Alta Renda,45,21,9225.24,App
C0031,2024-02,PF Alta Renda,45,18,4750.07,App
C0031,2024-03,PF Alta Renda,45,21,8885.63,App
C0031,2024-04,PF Alta Renda,45,18,7600.48,App
C0031,2024-05,PF Alta Renda,45,16,5299.17,App
C0031,2024-06,PF Alta Renda,45,15,7160.76,App
C0032,2024-01,PJ Pequeno Negocio,27,49,9337.31,Internet Banking
C0032,2024-02,PJ Pequeno Negocio,27,65,10610.31,Internet Banking
C0032,2024-03,PJ Pequeno Negocio,27,43,19340.19,Internet Banking
C0032,2024-04,PJ Pequeno Negocio,27,61,13655.86,Internet Banking
C0032,2024-05,PJ Pequeno Negocio,27,55,8497.79,Internet Banking
C0032,2024-06,PJ Pequeno Negocio,27,57,12302.08,Internet Banking
C0033,2024-01,PF Varejo,59,15,1554.16,App
C0033,2024-02,PF Varejo,59,10,1016.74,App
C0033,2024-03,PF Varejo,59,11,1278.57,App
C0033,2024-04,PF Varejo,59,10,1196.63,App
C0033,2024-05,PF Varejo,59,12,1963.03,App
C0033,2024-06,PF Varejo,59,13,1386.58,App
C0034,2024-01,PF Varejo,35,13,1979.63,App
C0034,2024-02,PF Varejo,35,11,968.95,App
C0034,2024-03,PF Varejo,35,13,919.2,App
C0034,2024-04,PF Varejo,35,12,1281.38,App
C0034,2024-05,PF Varejo,35,8,993.38,App
C0034,2024-06,PF Varejo,35,11,1355.81,App
C0035,2024-01,PF Varejo,21,9,1121.23,Internet Banking
C0035,2024-02,PF Varejo,21,10,910.81,Internet Banking
C0035,2024-03,PF Varejo,21,8,1509.17,Internet Banking
C0035,2024-04,PF Varejo,21,11,1479.4,Internet Banking
C0035,2024-05,PF Varejo,21,10,891.62,Internet Banking
C0035,2024-06,PF Varejo,21,9,1185.78,Internet Banking
C0036,2024-01,PF Varejo,60,8,1101.24,App
C0036,2024-02,PF Varejo,60,9,1217.59,App
C0036,2024-03,PF Varejo,60,9,1180.07,App
C0036,2024-04,PF Varejo,60,10,1331.5,App
C0036,2024-05,PF Varejo,60,10,909.69,App
C0036,2024-06,PF Varejo,60,10,1476.1,App
C0037,2024-01,PF Varejo,69,11,2441.35,Internet Banking
C0037,2024-02,PF Varejo,69,10,935.77,Internet Banking
C0037,2024-03,PF Varejo,69,10,1236.35,Internet Banking
C0037,2024-04,PF Varejo,69,11,1565.7,Internet Banking
C0037,2024-05,PF Varejo,69,15,1048.42,Internet Banking
C0037,2024-06,PF Varejo,69,11,1233.77,Internet Banking
C0038,2024-01,PF Varejo,18,16,1434.45,App
C0038,2024-02,PF Varejo,18,16,979.97,App
C0038,2024-03,PF Varejo,18,16,1539.94,App
C0038,2024-04,PF Varejo,18,15,2265.37,App
C0038,2024-05,PF Varejo,18,17,2063.46,App
C0038,2024-06,PF Varejo,18,16,2370.3,App
C0039,2024-01,PF Varejo,42,12,1446.28,Internet Banking
C0039,2024-02,PF Varejo,42,16,2008.66,Internet Banking
C0039,2024-03,PF Varejo,42,17,1342.03,Internet Banking
C0039,2024-04,PF Varejo,42,14,2675.17,Internet Banking
C0039,2024-05,PF Varejo,42,15,1270.65,Internet Banking
C0039,2024-06,PF Varejo,42,12,1501.27,Internet Banking
C0040,2024-01,PF Alta Renda,65,18,5876.29,App
C0040,2024-02,PF Alta Renda,65,16,5654.26,App
C0040,2024-03,PF Alta Renda,65,9,3713.74,App
C0040,2024-04,PF Alta Renda,65,5,1946.64,App
C0040,2024-05,PF Alta Renda,65,1,485.72,App
C0040,2024-06,PF Alta Renda,65,1,433.01,App
C0041,2024-01,PF Varejo,58,8,929.75,App
C0041,2024-02,PF Varejo,58,11,1601.11,App
C0041,2024-03,PF Varejo,58,11,1331.18,App
C0041,2024-04,PF Varejo,58,11,1494.25,App
C0041,2024-05,PF Varejo,58,9,932.06,App
C0041,2024-06,PF Varejo,58,13,1847.01,App
C0042,2024-01,PF Alta Renda,66,29,18451.2,App
C0042,2024-02,PF Alta Renda,66,19,10214.04,App
C0042,2024-03,PF Alta Renda,66,26,13741.13,App
C0042,2024-04,PF Alta Renda,66,20,6732.16,App
C0042,2024-05,PF Alta Renda,66,21,7376.69,App
C0042,2024-06,PF Alta Renda,66,24,10574.3,App
C0043,2024-01,PF Alta Renda,41,22,12723.95,App
C0043,2024-02,PF Alta Renda,41,26,9493.3,App
C0043,2024-03,PF Alta Renda,41,15,5552.14,App
C0043,2024-04,PF Alta Renda,41,7,3418.88,App
C0043,2024-05,PF Alta Renda,41,1,485.28,App
C0043,2024-06,PF Alta Renda,41,1,433.11,App
C0044,2024-01,PF Varejo,39,6,649.3,App
C0044,2024-02,PF Varejo,39,8,1217.85,App
C0044,2024-03,PF Varejo,39,8,888.63,App
C0044,2024-04,PF Varejo,39,7,605.49,App
C0044,2024-05,PF Varejo,39,6,871.39,App
C0044,2024-06,PF Varejo,39,8,1069.02,App
C0045,2024-01,PF Alta Renda,58,7,3961.5,App
C0045,2024-02,PF Alta Renda,58,10,3675.05,App
C0045,2024-03,PF Alta Renda,58,8,4118.15,App
C0045,2024-04,PF Alta Renda,58,8,2179.37,App
C0045,2024-05,PF Alta Renda,58,7,2666.9,App
C0045,2024-06,PF Alta Renda,58,8,3400.56,App
C0046,2024-01,PF Alta Renda,26,22,7964.89,App
C0046,2024-02,PF Alta Renda,26,19,8758.72,App
C0046,2024-03,PF Alta Renda,26,14,2660.91,App
C0046,2024-04,PF Alta Renda,26,6,2575.65,App
C0046,2024-05,PF Alta Renda,26,1,349.0,App
C0046,2024-06,PF Alta Renda,26,1,473.31,App
C0047,2024-01,PF Varejo,31,14,1211.31,App
C0047,2024-02,PF Varejo,31,13,657.58,App
C0047,2024-03,PF Varejo,31,7,1105.73,App
C0047,2024-04,PF Varejo,31,4,624.66,App
C0047,2024-05,PF Varejo,31,1,99.95,App
C0047,2024-06,PF Varejo,31,1,64.42,App
C0048,2024-01,PF Varejo,52,13,1951.48,App
C0048,2024-02,PF Varejo,52,14,2252.45,App
C0048,2024-03,PF Varejo,52,18,2336.07,App
C0048,2024-04,PF Varejo,52,12,913.47,App
C0048,2024-05,PF Varejo,52,13,1625.22,App
C0048,2024-06,PF Varejo,52,16,2420.41,App
C0049,2024-01,PF Alta Renda,56,40,20331.63,App
C0049,2024-02,PF Alta Renda,56,32,15801.86,App
C0049,2024-03,PF Alta Renda,56,39,19171.5,App
C0049,2024-04,PF Alta Renda,56,28,8190.3,App
C0049,2024-05,PF Alta Renda,56,35,10882.86,App
C0049,2024-06,PF Alta Renda,56,38,18162.39,App
C0050,2024-01,PF Varejo,24,9,1319.19,App
C0050,2024-02,PF Varejo,24,9,1180.49,App
C0050,2024-03,PF Varejo,24,5,887.42,App
C0050,2024-04,PF Varejo,24,3,321.98,App
C0050,2024-05,PF Varejo,24,0,0.0,App
C0050,2024-06,PF Varejo,24,0,0.0,App
C0051,2024-01,PF Varejo,46,8,1221.58,App
C0051,2024-02,PF Varejo,46,9,967.95,App
C0051,2024-03,PF Varejo,46,8,1089.32,App
C0051,2024-04,PF Varejo,46,9,1495.8,App
C0051,2024-05,PF Varejo,46,8,750.39,App
C0051,2024-06,PF Varejo,46,9,1126.23,App
C0052,2024-01,PF Varejo,38,12,856.28,App
C0052,2024-02,PF Varejo,38,10,1233.84,App
C0052,2024-03,PF Varejo,38,7,885.74,App
C0052,2024-04,PF Varejo,38,9,924.53,App
C0052,2024-05,PF Varejo,38,11,1409.76,App
C0052,2024-06,PF Varejo,38,12,840.16,App
C0053,2024-01,PF Alta Renda,46,27,9848.6,Internet Banking
C0053,2024-02,PF Alta Renda,46,22,8299.16,Internet Banking
C0053,2024-03,PF Alta Renda,46,23,5750.83,Internet Banking
C0053,2024-04,PF Alta Renda,46,25,10470.35,Internet Banking
C0053,2024-05,PF Alta Renda,46,19,10993.74,Internet Banking
C0053,2024-06,PF Alta Renda,46,30,15115.99,Internet Banking
C0054,2024-01,PF Alta Renda,72,26,11179.38,App
C0054,2024-02,PF Alta Renda,72,28,12982.9,App
C0054,2024-03,PF Alta Renda,72,21,8280.84,App
C0054,2024-04,PF Alta Renda,72,9,2573.72,App
C0054,2024-05,PF Alta Renda,72,2,627.85,App
C0054,2024-06,PF Alta Renda,72,2,930.96,App
C0055,2024-01,PF Alta Renda,22,31,13798.91,App
C0055,2024-02,PF Alta Renda,22,30,14251.36,App
C0055,2024-03,PF Alta Renda,22,24,12305.49,App
C0055,2024-04,PF Alta Renda,22,20,7383.44,App
C0055,2024-05,PF Alta Renda,22,27,13959.71,App
C0055,2024-06,PF Alta Renda,22,29,14208.28,App
C0056,2024-01,PF Alta Renda,74,12,4304.98,App
C0056,2024-02,PF Alta Renda,74,10,5243.79,App
C0056,2024-03,PF Alta Renda,74,12,4261.82,App
C0056,2024-04,PF Alta Renda,74,12,4834.54,App
C0056,2024-05,PF Alta Renda,74,13,5156.3,App
C0056,2024-06,PF Alta Renda,74,10,4395.4,App
C0057,2024-01,PF Varejo,43,13,1887.74,App
C0057,2024-02,PF Varejo,43,14,1326.2,App
C0057,2024-03,PF Varejo,43,17,2686.95,App
C0057,2024-04,PF Varejo,43,16,1341.74,App
C0057,2024-05,PF Varejo,43,15,1428.84,App
C0057,2024-06,PF Varejo,43,11,1008.8,App
C0058,2024-01,PF Varejo,62,10,1148.56,App
C0058,2024-02,PF Varejo,62,10,1165.01,App
C0058,2024-03,PF Varejo,62,11,1496.68,App
C0058,2024-04,PF Varejo,62,11,1248.28,App
C0058,2024-05,PF Varejo,62,13,928.18,App
C0058,2024-06,PF Varejo,62,14,2216.82,App
C0059,2024-01,PF Varejo,42,6,639.66,App
C0059,2024-02,PF Varejo,42,5,479.21,App
C0059,2024-03,PF Varejo,42,6,922.84,App
C0059,2024-04,PF Varejo,42,6,519.71,App
C0059,2024-05,PF Varejo,42,4,615.52,App
C0059,2024-06,PF Varejo,42,6,191.06,App
C0060,2024-01,PF Varejo,35,8,914.68,Internet Banking
C0060,2024-02,PF Varejo,35,10,1144.42,Internet Banking
C0060,2024-03,PF Varejo,35,9,1093.93,Internet Banking
C0060,2024-04,PF Varejo,35,8,825.93,Internet Banking
C0060,2024-05,PF Varejo,35,8,1282.78,Internet Banking
C0060,2024-06,PF Varejo,35,10,1745.6,Internet Banking
C0061,2024-01,PF Alta Renda,61,22,9108.0,App
C0061,2024-02,PF Alta Renda,61,22,9445.59,App
C0061,2024-03,PF Alta Renda,61,13,6826.88,App
C0061,2024-04,PF Alta Renda,61,6,1925.32,App
C0061,2024-05,PF Alta Renda,61,1,267.68,App
C0061,2024-06,PF Alta Renda,61,1,227.74,App
C0062,2024-01,PF Varejo,57,13,1749.83,App
C0062,2024-02,PF Varejo,57,16,1198.55,App
C0062,2024-03,PF Varejo,57,13,1350.27,App
C0062,2024-04,PF Varejo,57,15,2286.58,App
C0062,2024-05,PF Varejo,57,15,1647.06,App
C0062,2024-06,PF Varejo,57,14,1465.3,App
C0063,2024-01,PF Varejo,26,7,894.67,Internet Banking
C0063,2024-02,PF Varejo,26,8,939.54,Internet Banking
C0063,2024-03,PF Varejo,26,7,1210.1,Internet Banking
C0063,2024-04,PF Varejo,26,7,1124.16,Internet Banking
C0063,2024-05,PF Varejo,26,6,649.09,Internet Banking
C0063,2024-06,PF Varejo,26,6,878.54,Internet Banking
C0064,2024-01,PF Alta Renda,58,12,6813.28,App
C0064,2024-02,PF Alta Renda,58,15,4853.9,App
C0064,2024-03,PF Alta Renda,58,9,3240.25,App
C0064,2024-04,PF Alta Renda,58,4,1273.24,App
C0064,2024-05,PF Alta Renda,58,1,479.89,App
C0064,2024-06,PF Alta Renda,58,1,467.84,App
C0065,2024-01,PF Varejo,60,6,1076.33,App
C0065,2024-02,PF Varejo,60,7,709.28,App
C0065,2024-03,PF Varejo,60,8,1053.36,App
C0065,2024-04,PF Varejo,60,7,1064.85,App
C0065,2024-05,PF Varejo,60,8,1192.27,App
C0065,2024-06,PF Varejo,60,7,725.59,App
C0066,2024-01,PF Varejo,40,12,2093.71,Internet Banking
C0066,2024-02,PF Varejo,40,13,1960.21,Internet Banking
C0066,2024-03,PF Varejo,40,13,1234.76,Internet Banking
C0066,2024-04,PF Varejo,40,13,2861.85,Internet Banking
C0066,2024-05,PF Varejo,40,10,1785.5,Internet Banking
C0066,2024-06,PF Varejo,40,13,1188.45,Internet Banking
C0067,2024-01,PF Varejo,70,5,426.97,Internet Banking
C0067,2024-02,PF Varejo,70,4,498.52,Internet Banking
C0067,2024-03,PF Varejo,70,5,558.16,Internet Banking
C0067,2024-04,PF Varejo,70,4,433.88,Internet Banking
C0067,2024-05,PF Varejo,70,4,445.09,Internet Banking
C0067,2024-06,PF Varejo,70,4,368.55,Internet Banking
C0068,2024-01,PF Varejo,54,13,1794.12,App
C0068,2024-02,PF Varejo,54,10,1070.21,App
C0068,2024-03,PF Varejo,54,15,1924.62,App
C0068,2024-04,PF Varejo,54,14,2658.45,App
C0068,2024-05,PF Varejo,54,9,1639.15,App
C0068,2024-06,PF Varejo,54,14,2083.28,App
C0069,2024-01,PF Varejo,37,10,959.14,App
C0069,2024-02,PF Varejo,37,12,983.44,App
C0069,2024-03,PF Varejo,37,11,1821.32,App
C0069,2024-04,PF Varejo,37,9,552.82,App
C0069,2024-05,PF Varejo,37,11,1705.48,App
C0069,2024-06,PF Varejo,37,10,1221.19,App
C0070,2024-01,PF Varejo,18,16,2278.56,App
C0070,2024-02,PF Varejo,18,15,1732.43,App
C0070,2024-03,PF Varejo,18,12,1514.21,App
C0070,2024-04,PF Varejo,18,17,1358.78,App
C0070,2024-05,PF Varejo,18,13,1486.24,App
C0070,2024-06,PF Varejo,18,18,2934.51,App
C0071,2024-01,PF Varejo,56,13,1402.76,App
C0071,2024-02,PF Varejo,56,15,1185.62,App
C0071,2024-03,PF Varejo,56,15,3054.02,App
C0071,2024-04,PF Varejo,56,16,2091.32,App
C0071,2024-05,PF Varejo,56,11,1758.55,App
C0071,2024-06,PF Varejo,56,15,2726.21,App
C0072,2024-01,PF Varejo,29,16,1401.21,App
C0072,2024-02,PF Varejo,29,16,2678.65,App
C0072,2024-03,PF Varejo,29,23,2493.15,App
C0072,2024-04,PF Varejo,29,14,1479.32,App
C0072,2024-05,PF Varejo,29,22,2485.32,App
C0072,2024-06,PF Varejo,29,17,1734.3,App
C0073,2024-01,PJ Pequeno Negocio,61,35,10944.82,App
C0073,2024-02,PJ Pequeno Negocio,61,35,9574.69,App
C0073,2024-03,PJ Pequeno Negocio,61,38,10434.34,App
C0073,2024-04,PJ Pequeno Negocio,61,39,9955.0,App
C0073,2024-05,PJ Pequeno Negocio,61,38,9663.87,App
C0073,2024-06,PJ Pequeno Negocio,61,38,8589.6,App
C0074,2024-01,PF Varejo,47,8,1040.38,App
C0074,2024-02,PF Varejo,47,9,1266.06,App
C0074,2024-03,PF Varejo,47,7,811.42,App
C0074,2024-04,PF Varejo,47,9,816.46,App
C0074,2024-05,PF Varejo,47,10,1769.45,App
C0074,2024-06,PF Varejo,47,8,954.75,App
C0075,2024-01,PF Varejo,44,16,2114.68,Internet Banking
C0075,2024-02,PF Varejo,44,19,1612.56,Internet Banking
C0075,2024-03,PF Varejo,44,13,1845.15,Internet Banking
C0075,2024-04,PF Varejo,44,13,1469.11,Internet Banking
C0075,2024-05,PF Varejo,44,20,1724.05,Internet Banking
C0075,2024-06,PF Varejo,44,18,1655.43,Internet Banking
C0076,2024-01,PF Varejo,27,9,1488.18,App
C0076,2024-02,PF Varejo,27,11,894.16,App
C0076,2024-03,PF Varejo,27,8,944.39,App
C0076,2024-04,PF Varejo,27,8,607.18,App
C0076,2024-05,PF Varejo,27,7,1265.23,App
C0076,2024-06,PF Varejo,27,7,633.74,App
C0077,2024-01,PF Varejo,58,7,888.63,App
C0077,2024-02,PF Varejo,58,7,1006.94,App
C0077,2024-03,PF Varejo,58,9,1280.87,App
C0077,2024-04,PF Varejo,58,6,560.28,App
C0077,2024-05,PF Varejo,58,6,964.83,App
C0077,2024-06,PF Varejo,58,8,1523.25,App
C0078,2024-01,PF Alta Renda,27,21,10682.69,App
C0078,2024-02,PF Alta Renda,27,25,11054.53,App
C0078,2024-03,PF Alta Renda,27,26,8711.61,App
C0078,2024-04,PF Alta Renda,27,30,7116.76,App
C0078,2024-05,PF Alta Renda,27,27,11941.81,App
C0078,2024-06,PF Alta Renda,27,25,8464.57,App
C0079,2024-01,PF Varejo,41,6,894.91,Internet Banking
C0079,2024-02,PF Varejo,41,7,475.11,Internet Banking
C0079,2024-03,PF Varejo,41,4,503.87,Internet Banking
C0079,2024-04,PF Varejo,41,2,144.38,Internet Banking
C0079,2024-05,PF Varejo,41,0,0.0,Internet Banking
C0079,2024-06,PF Varejo,41,0,0.0,Internet Banking
C0080,2024-01,PF Alta Renda,65,10,4455.28,App
C0080,2024-02,PF Alta Renda,65,15,4162.0,App
C0080,2024-03,PF Alta Renda,65,15,5122.5,App
C0080,2024-04,PF Alta Renda,65,12,5489.76,App
C0080,2024-05,PF Alta Renda,65,13,6123.41,App
C0080,2024-06,PF Alta Renda,65,14,6046.0,App
C0081,2024-01,PF Alta Renda,70,32,16638.33,App
